WS,Element
Adicional2,HUI.Guadalupe_L2
Adicional2,BOG.Paloquemao-1_L3
Adicional2,BOG.Centro Narino_L2
Adicional2,BOG.Paloquemao-1_T4
Adicional2,FLO.Via Neiva_M3
Adicional2,BOG.La Fragua_R2
Adicional2,DUI.Colombia_M3
Adicional2,PUT.La Pedregosa_M1
Adicional2,VCO.IND Hospital Dept-2_L1
Adicional2,BOG.Parque 93-2_L2
Adicional2,HUI.Campo Alegre_T1
Adicional2,BOG.U Gran Colombia_L1
Adicional2,CUC.San Luis-2_M2
Adicional2,FLO.Via Neiva_L1
Adicional2,HUI.Garzon-1_T1
Adicional2,HUI.Guadalupe_T3
Adicional2,MET.Acacias-4_T2
Adicional2,BOG.La Fragua_L1
Adicional2,BOG.Parque Milenio_M2
Adicional2,BOG.San Facon_M2
Adicional2,HUI.Garzon-1_L2
Adicional2,CUN.La Vega_M2
Adicional2,SND.San Andres_L1
Adicional2,BOG.IND Hotel Dann Cll103 N3_L3
Adicional2,BOG.San Facon_L1
Adicional2,CAS.Villa Nueva-7_M1
Adicional2,DUI.Ciudadela Industrial_M1
Adicional2,HUI.Guadalupe_M3
Adicional2,MET.Acacias-4_L3
Adicional2,BOG.San Facon_T3
Adicional2,CUN.La Vega_M5
Adicional2,HUI.Garzon-1_M1
Adicional2,ARA.Saravena_M2
Adicional2,BOG.Tintal-2_R1
Adicional2,CUC.San Luis-2_T1
Adicional2,MET.Acacias-4_T1
Adicional2,BOG.IND Davivienda Normandia_L1
Adicional2,BOG.Navarra-1_M1
Adicional2,BOG.Paloquemao-1_R3
Adicional2,BOG.Suba-1_T2
Adicional2,CUC.San Luis-2_L2
Adicional2,FLO.Ciudadela_L1
Adicional2,BOG.Torre Argos_L2
Adicional2,CAS.Florena_M3
Adicional2,FLO.Ciudadela_M1
Adicional2,FLO.Via Neiva_M2
Adicional2,ARA.Saravena_T2
Adicional2,BOG.Parque Milenio_T3
Adicional2,HUI.Guadalupe_L3
Adicional2,BOG.IND Hotel Dann Cll103_L6
Adicional2,BOG.Parque Milenio_T1
Adicional2,BOG.Navarra-1_T1
Adicional2,BUC.IND Rayco_L1
Adicional2,BUC.Mejoras Publicas_L3
Adicional2,CUN.La Vega_M1
Adicional2,BOG.Paloquemao-1_M4
Adicional2,BOG.Suba-1_L3
Adicional2,IBG.Rb Salado-2_M1
Adicional2,BOG.IND Asistencia Bolivar T1_L1
Adicional2,CAQ.Doncello-2_M3
Adicional2,BOG.Galan-2_T2
Adicional2,BOG.Torre Argos_T2
Adicional2,DUI.Juan Grande_M1
Adicional2,CUN.IND Peaje Ventana_L1
Adicional2,TOL.Sumapaz_M1
Adicional2,ARA.Saravena_L3
Adicional2,BOG.Rb Capellania ALT5_L1
Adicional2,BOG.Suba-1_L2
Adicional2,CUN.La Vega_M3
Adicional2,HUI.Club Neiva_L2
Adicional2,BOG.Galan-2_M1
Adicional2,FLO.Ciudadela_T1
Adicional2,BOG.11 de Noviembre_M1
Adicional2,BOG.12 de Octubre_M1
Adicional2,BOG.Tintal-2_M3
Adicional2,PUT.Curiquinga_M1
Adicional2,BOG.San Martin_M4
Adicional2,HUI.San Agustin_M3
Adicional2,TOL.Sumapaz_T1
Adicional2,BOG.Gelsa Salitre_L1
Adicional2,BOG.San Martin_L6
Adicional2,BOG.Las Ferias-1_M1
Adicional2,BOG.Paloquemao-1_R2
Adicional2,BOG.San Martin_M6
Adicional2,HUI.Campo Alegre_T3
Adicional2,BOG.Bodegas Franco_M6
Adicional2,BOG.Tintal-2_T3
Adicional2,HUI.Campo Alegre_M4
Adicional2,BOG.Bodegas Franco_T2
Adicional2,BOG.IND Campin_L1
Adicional2,BOG.IND Westcon_M1
Adicional2,CUC.San Luis-2_L3
Adicional2,BOG.San Martin_L3
Adicional2,FLO.Ciudadela_L3
Adicional2,BOG.Centro Narino_M1
Adicional2,BOG.Parque Milenio_L3
Adicional2,BUC.Acropolis_T1
Adicional2,BOG.Centro Narino_M3
Adicional2,BOG.Galan-2_M2
Adicional2,BOG.Galan-2_R4
Adicional2,BOG.Paloquemao-1_M2
Adicional2,BOG.IND Seguridad Oncor_L1
Adicional2,BOG.Tintal-2_L3
Adicional2,DUI.Ciudadela Industrial_L2
Adicional2,IBG.Rb Salado-2_T3
Adicional2,BOG.Modelo Sur-2_L1
Adicional2,BOG.San Martin_R1
Adicional2,DUI.Ciudadela Industrial_T1
Adicional2,BOG.IND Compensar 68_L4
Adicional2,BOG.IND Westcon_L1
Adicional2,BOG.Arcadia_T3
Adicional2,BOG.Suba-1_T1
Adicional2,FLO.Ciudadela_M3
Adicional2,BOG.IND Compensar 68_L2
Adicional2,CUN.IND Conquimica N1_L1
Adicional2,ARA.Saravena_L2
Adicional2,BOG.Paloquemao-1_R4
Adicional2,BUC.Mejoras Publicas_M1
Adicional2,BOG.Modelo Sur-2_R3
Adicional2,BOG.TM Shaio_L1
Adicional2,CUC.Quintaboch_T2
Adicional2,HUI.Campo Alegre_L2
Adicional2,BOG.Las Ferias-1_T1
Adicional2,BOG.12 de Octubre_M3
Adicional2,BOG.San Martin_L4
Adicional2,BOG.Suba-1_L1
Adicional2,DUI.Ciudadela Industrial_L3
Adicional2,BOG.Bodegas Franco_L1
Adicional2,BOG.La Fragua_R3
Adicional2,BOG.Torre Argos_M1
Adicional2,BOG.Parque 93-2_T3
Adicional2,BOG.San Martin_M7
Adicional2,CAQ.Pto Rico-2_M3
Adicional2,DUI.Colombia_L3
Adicional2,DUI.Colombia_T3
Adicional2,BOG.San Martin_T6
Adicional2,MET.San Martin-2_M3
Adicional2,BOG.Las Ferias-1_T3
Adicional2,MET.San Martin-2_L3
Adicional2,BOG.IND Campin_L2
Adicional2,BOG.Parque 93-2_M3
Adicional2,BOG.Parque 93-2_M3
Adicional2,BOG.San Martin_T3
Adicional2,BUC.Acropolis_R2
Adicional2,CUC.Quintaboch_M2
Adicional2,HUI.Garzon-1_T2
