WS,Element
Sesion5,BAR.Palmas del Rio_L2
Sesion5,BAR.Popular_T1
Sesion5,BAR.Puerta del Sol_T3
Sesion5,BAR.RB La Candelaria_R3
Sesion5,BAR.RB Macarena (P2)_T1
Sesion5,BAR.RB Via 40-6 (P1)_L3
Sesion5,BAR.RB2 Macarena (P4)_L1
Sesion5,BAR.Soledad-8_M2
Sesion5,BAR.Sorrento_M3
Sesion5,BAR.Urbaplaya_L3
Sesion5,BAR.Urbaplaya_R2
Sesion5,BAR.Zona Franca_L3
Sesion5,BOL.Carmen Bolivar-3_L3
Sesion5,BOL.Magangue-6_T1
Sesion5,BOL.Magangue-8_M1
Sesion5,BOL.Magangue_L2
Sesion5,BOL.Mahates_M2
Sesion5,BOL.Matute_L2
Sesion5,BOL.Nepomuceno-5_L3
Sesion5,BOL.Santa Rosa-2_M2
Sesion5,CAR.CC Las Americas:H3_M1
Sesion5,CAR.Cementerio_R3
Sesion5,CAR.Contadora-2_L2
Sesion5,CAR.Olaya_M1
Sesion5,CAR.Perimetral Reub_L1
Sesion5,CAR.Simon Bolivar-3_M1
Sesion5,CAR.Surtigas-2_M2
Sesion5,BAR.Aeropuerto-2_T1
Sesion5,BAR.Alboraya:H1_M3
Sesion5,BAR.Calle 17-2_M3
Sesion5,BAR.Calle 82_L3
Sesion5,BAR.Carrizal-2_T1
Sesion5,BAR.Esmeralda-2 (P2)_T3
Sesion5,BAR.Estadio Metro-2_M10
Sesion5,BAR.Estadio-1_M3
Sesion5,BAR.IND CC El Unico_M3
Sesion5,BAR.Metropolitano-3_L3
Sesion5,BAR.Prado-3:H1_M2
Sesion5,BAR.Rb Pastoral_L2
Sesion5,BAR.Riomar_L2
Sesion5,BAR.Torcoroma_T2
Sesion5,BAR.Uninorte-2 (P1)_L3
Sesion5,BAR.Via 40-4 (P1)_L3
Sesion5,BAR.Villacountry-2:H2_L2
Sesion5,BOL.Guamo_M1
Sesion5,BOL.Soplaviento_M2
Sesion5,CAR.Arsenal_L3
Sesion5,CAR.Bocagrande-2:P2_T2
Sesion5,CAR.Bocagrande-6_M1
Sesion5,CAR.Bocagrande-8_M2
Sesion5,CAR.Ejecutivos_M2
Sesion5,CAR.IND Opperar_L1
Sesion5,CAR.Los Ciruelos_M1
Sesion5,CAR.Mamonal-6:H1_L3
Sesion5,CAR.Mamonal-8_M3
Sesion5,CAR.Manga_L2
Sesion5,CAR.San Francisco-2_T3
Sesion5,CAR.Tesca-2_T1
Sesion5,CAR.Villa Olimpica (P3)_L4
Sesion5,BAR.Alboraya:H1_M2
Sesion5,BAR.Alfonso Lopez_R1
Sesion5,BAR.Altos de Riomar-2 (P1)_M2
Sesion5,BAR.Brigada_T1
Sesion5,BAR.Calle 82_M2
Sesion5,BAR.Circunvalar-1 (P1)_T1
Sesion5,BAR.Rb Trinidad_T3
Sesion5,BAR.Tobogan_T3
Sesion5,BOL.Carmen Bolivar-2_T3
Sesion5,BOL.Clemencia-2_M1
Sesion5,CAR.Barcelona:H1_R2
Sesion5,CAR.Diamante-2_T1
Sesion5,CAR.IND Arclad_L2
Sesion5,CAR.IND CAV CC Ronda Real_L1
Sesion5,CAR.IND Plaza Bocagrande_L3
Sesion5,CAR.Los Alpes_M3
Sesion5,CAR.Simon Bolivar-3_M2
Sesion5,CAR.Surtigas_T2
Sesion5,CAR.Universitario_L3
Sesion5,CAR.Villa Olimpica (P4)_M1
Sesion5,BAR.Aguila_L3
Sesion5,BAR.Blue Garden (P1)_L2
Sesion5,BAR.Calle 30-5 (P1)_M2
Sesion5,BAR.Caribe_M2
Sesion5,BAR.Centro-1:H1_L1
Sesion5,BAR.Concepcion_L4
Sesion5,BAR.Cumbre_L2
Sesion5,BAR.Esmeralda-2 (P1)_T1
Sesion5,BAR.Esmeralda_T1
Sesion5,BAR.Gran Centro_L2
Sesion5,BAR.Granabastos-3_M1
Sesion5,BAR.IND CC El Unico_L1
Sesion5,BAR.Parque Rosado (P4)_M2
Sesion5,BAR.Plaza de Soledad_R1
Sesion5,BAR.Puerta de Oro (P2)_L3
Sesion5,BAR.RB Carrizal_R1
Sesion5,BAR.Vivero_T3
Sesion5,BOL.Barranco de Loba_L2
Sesion5,BOL.El Nispero_M1
Sesion5,CAR.Argos Planta_M3
Sesion5,CAR.Av Venezuela:P1_T1
Sesion5,CAR.CC Las Americas:H3_T2
Sesion5,CAR.El Conde_T3
Sesion5,CAR.El Libano_M2
Sesion5,CAR.IND Dismel_L1
Sesion5,CAR.La Quinta_T3
Sesion5,CAR.Laguna Club (P2)_L1
Sesion5,CAR.Manga-3_T2
Sesion5,CAR.RB Inem_L2
Sesion5,CAR.Terminal Reub_T3
Sesion5,BAR.Buenavista-3 (P1)_L2
Sesion5,BAR.Buenavista-4 (P1)_R2
Sesion5,BAR.Carrera 46_L3
Sesion5,BAR.Castellana_T3
Sesion5,BAR.Circunvalar-1 (P1)_L1
Sesion5,BAR.Ciudadela_L3
Sesion5,BAR.Cumbre_T1
Sesion5,BAR.Exito-2 (P1)_T3
Sesion5,BAR.Exito_T1
Sesion5,BAR.Gracetales_T1
Sesion5,BAR.Juan Mina_T2
